Year,Period,Label,Value,ID,Date
2001,M01,2001 Jan,2.7,CO,2001-01
2001,M02,2001 Feb,2.8,CO,2001-02
2001,M03,2001 Mar,2.9,CO,2001-03
2001,M04,2001 Apr,3.1,CO,2001-04
2001,M05,2001 May,3.3,CO,2001-05
2001,M06,2001 Jun,3.4,CO,2001-06
2001,M07,2001 Jul,3.7,CO,2001-07
2001,M08,2001 Aug,4,CO,2001-08
2001,M09,2001 Sep,4.4,CO,2001-09
2001,M10,2001 Oct,4.8,CO,2001-10
2001,M11,2001 Nov,5.2,CO,2001-11
2001,M12,2001 Dec,5.5,CO,2001-12
2002,M01,2002 Jan,5.7,CO,2002-01
2002,M02,2002 Feb,5.8,CO,2002-02
2002,M03,2002 Mar,5.8,CO,2002-03
2002,M04,2002 Apr,5.7,CO,2002-04
2002,M05,2002 May,5.7,CO,2002-05
2002,M06,2002 Jun,5.6,CO,2002-06
2002,M07,2002 Jul,5.6,CO,2002-07
2002,M08,2002 Aug,5.6,CO,2002-08
2002,M09,2002 Sep,5.6,CO,2002-09
2002,M10,2002 Oct,5.6,CO,2002-10
2002,M11,2002 Nov,5.7,CO,2002-11
2002,M12,2002 Dec,5.8,CO,2002-12
2003,M01,2003 Jan,5.9,CO,2003-01
2003,M02,2003 Feb,6,CO,2003-02
2003,M03,2003 Mar,6.1,CO,2003-03
2003,M04,2003 Apr,6.2,CO,2003-04
2003,M05,2003 May,6.3,CO,2003-05
2003,M06,2003 Jun,6.3,CO,2003-06
2003,M07,2003 Jul,6.3,CO,2003-07
2003,M08,2003 Aug,6.2,CO,2003-08
2003,M09,2003 Sep,6.1,CO,2003-09
2003,M10,2003 Oct,6,CO,2003-10
2003,M11,2003 Nov,6,CO,2003-11
2003,M12,2003 Dec,5.9,CO,2003-12
2004,M01,2004 Jan,5.8,CO,2004-01
2004,M02,2004 Feb,5.8,CO,2004-02
2004,M03,2004 Mar,5.7,CO,2004-03
2004,M04,2004 Apr,5.6,CO,2004-04
2004,M05,2004 May,5.6,CO,2004-05
2004,M06,2004 Jun,5.5,CO,2004-06
2004,M07,2004 Jul,5.5,CO,2004-07
2004,M08,2004 Aug,5.5,CO,2004-08
2004,M09,2004 Sep,5.5,CO,2004-09
2004,M10,2004 Oct,5.5,CO,2004-10
2004,M11,2004 Nov,5.4,CO,2004-11
2004,M12,2004 Dec,5.4,CO,2004-12
2005,M01,2005 Jan,5.4,CO,2005-01
2005,M02,2005 Feb,5.4,CO,2005-02
2005,M03,2005 Mar,5.3,CO,2005-03
2005,M04,2005 Apr,5.3,CO,2005-04
2005,M05,2005 May,5.2,CO,2005-05
2005,M06,2005 Jun,5.1,CO,2005-06
2005,M07,2005 Jul,5,CO,2005-07
2005,M08,2005 Aug,4.9,CO,2005-08
2005,M09,2005 Sep,4.9,CO,2005-09
2005,M10,2005 Oct,4.9,CO,2005-10
2005,M11,2005 Nov,4.8,CO,2005-11
2005,M12,2005 Dec,4.7,CO,2005-12
2006,M01,2006 Jan,4.6,CO,2006-01
2006,M02,2006 Feb,4.5,CO,2006-02
2006,M03,2006 Mar,4.4,CO,2006-03
2006,M04,2006 Apr,4.4,CO,2006-04
2006,M05,2006 May,4.4,CO,2006-05
2006,M06,2006 Jun,4.4,CO,2006-06
2006,M07,2006 Jul,4.3,CO,2006-07
2006,M08,2006 Aug,4.3,CO,2006-08
2006,M09,2006 Sep,4.2,CO,2006-09
2006,M10,2006 Oct,4.1,CO,2006-10
2006,M11,2006 Nov,3.9,CO,2006-11
2006,M12,2006 Dec,3.8,CO,2006-12
2007,M01,2007 Jan,3.7,CO,2007-01
2007,M02,2007 Feb,3.5,CO,2007-02
2007,M03,2007 Mar,3.5,CO,2007-03
2007,M04,2007 Apr,3.4,CO,2007-04
2007,M05,2007 May,3.4,CO,2007-05
2007,M06,2007 Jun,3.5,CO,2007-06
2007,M07,2007 Jul,3.6,CO,2007-07
2007,M08,2007 Aug,3.7,CO,2007-08
2007,M09,2007 Sep,3.9,CO,2007-09
2007,M10,2007 Oct,4,CO,2007-10
2007,M11,2007 Nov,4.1,CO,2007-11
2007,M12,2007 Dec,4.1,CO,2007-12
2008,M01,2008 Jan,4.2,CO,2008-01
2008,M02,2008 Feb,4.2,CO,2008-02
2008,M03,2008 Mar,4.3,CO,2008-03
2008,M04,2008 Apr,4.4,CO,2008-04
2008,M05,2008 May,4.5,CO,2008-05
2008,M06,2008 Jun,4.7,CO,2008-06
2008,M07,2008 Jul,4.8,CO,2008-07
2008,M08,2008 Aug,5,CO,2008-08
2008,M09,2008 Sep,5.2,CO,2008-09
2008,M10,2008 Oct,5.4,CO,2008-10
2008,M11,2008 Nov,5.7,CO,2008-11
2008,M12,2008 Dec,6.1,CO,2008-12
2009,M01,2009 Jan,6.6,CO,2009-01
2009,M02,2009 Feb,7,CO,2009-02
2009,M03,2009 Mar,7.4,CO,2009-03
2009,M04,2009 Apr,7.7,CO,2009-04
2009,M05,2009 May,8,CO,2009-05
2009,M06,2009 Jun,8.1,CO,2009-06
2009,M07,2009 Jul,8.1,CO,2009-07
2009,M08,2009 Aug,8.1,CO,2009-08
2009,M09,2009 Sep,8.2,CO,2009-09
2009,M10,2009 Oct,8.3,CO,2009-10
2009,M11,2009 Nov,8.4,CO,2009-11
2009,M12,2009 Dec,8.6,CO,2009-12
2010,M01,2010 Jan,8.8,CO,2010-01
2010,M02,2010 Feb,9,CO,2010-02
2010,M03,2010 Mar,9.1,CO,2010-03
2010,M04,2010 Apr,9.1,CO,2010-04
2010,M05,2010 May,9,CO,2010-05
2010,M06,2010 Jun,9,CO,2010-06
2010,M07,2010 Jul,9.1,CO,2010-07
2010,M08,2010 Aug,9.2,CO,2010-08
2010,M09,2010 Sep,9.3,CO,2010-09
2010,M10,2010 Oct,9.4,CO,2010-10
2010,M11,2010 Nov,9.4,CO,2010-11
2010,M12,2010 Dec,9.3,CO,2010-12
2011,M01,2011 Jan,9.1,CO,2011-01
2011,M02,2011 Feb,8.9,CO,2011-02
2011,M03,2011 Mar,8.8,CO,2011-03
2011,M04,2011 Apr,8.7,CO,2011-04
2011,M05,2011 May,8.7,CO,2011-05
2011,M06,2011 Jun,8.7,CO,2011-06
2011,M07,2011 Jul,8.7,CO,2011-07
2011,M08,2011 Aug,8.6,CO,2011-08
2011,M09,2011 Sep,8.6,CO,2011-09
2011,M10,2011 Oct,8.6,CO,2011-10
2011,M11,2011 Nov,8.5,CO,2011-11
2011,M12,2011 Dec,8.4,CO,2011-12
2012,M01,2012 Jan,8.4,CO,2012-01
2012,M02,2012 Feb,8.3,CO,2012-02
2012,M03,2012 Mar,8.3,CO,2012-03
2012,M04,2012 Apr,8.3,CO,2012-04
2012,M05,2012 May,8.2,CO,2012-05
2012,M06,2012 Jun,8.2,CO,2012-06
2012,M07,2012 Jul,8.1,CO,2012-07
2012,M08,2012 Aug,7.9,CO,2012-08
2012,M09,2012 Sep,7.8,CO,2012-09
2012,M10,2012 Oct,7.6,CO,2012-10
2012,M11,2012 Nov,7.5,CO,2012-11
2012,M12,2012 Dec,7.4,CO,2012-12
2013,M01,2013 Jan,7.3,CO,2013-01
2013,M02,2013 Feb,7.2,CO,2013-02
2013,M03,2013 Mar,7.1,CO,2013-03
2013,M04,2013 Apr,7,CO,2013-04
2013,M05,2013 May,6.9,CO,2013-05
2013,M06,2013 Jun,6.8,CO,2013-06
2013,M07,2013 Jul,6.8,CO,2013-07
2013,M08,2013 Aug,6.7,CO,2013-08
2013,M09,2013 Sep,6.5,CO,2013-09
2013,M10,2013 Oct,6.4,CO,2013-10
2013,M11,2013 Nov,6.2,CO,2013-11
2013,M12,2013 Dec,6.1,CO,2013-12
2014,M01,2014 Jan,6,CO,2014-01
2014,M02,2014 Feb,5.8,CO,2014-02
2014,M03,2014 Mar,5.6,CO,2014-03
2014,M04,2014 Apr,5.4,CO,2014-04
2014,M05,2014 May,5.2,CO,2014-05
2014,M06,2014 Jun,5,CO,2014-06
2014,M07,2014 Jul,4.8,CO,2014-07
2014,M08,2014 Aug,4.6,CO,2014-08
2014,M09,2014 Sep,4.5,CO,2014-09
2014,M10,2014 Oct,4.4,CO,2014-10
2014,M11,2014 Nov,4.3,CO,2014-11
